听 (tīng)	hören (z.B. in „Musik hören", aber nicht ohne Verbkomplement, wenn das Eintreten der Sinnesempfindung im Vordergrund steht wie in „Ich habe das Geräusch gehört"); sich anhören; zuhören
说 (shuō)	sprechen (ohne ein zumindest erschließbares konkretes Objekt in der Regel mit dem Objekt 话 = „Worte", z.B. in „Er spricht gerade"); (sonst v.a.:) sagen
读 (dú)	lesen; laut lesen; vorlesen; (eine Schule/Universität) besuchen
写 (xiě)	schreiben (ohne ein zumindest erschließbares konkretes Objekt in der Regel mit dem Objekt 字 = „Schriftzeichen", z.B. in „Er kann schon schreiben")
汉学 (hànxué)	Sinologie
系 (xì)	(u.a.:) Universitätsinstitut (in dieser Bedeutung Lang- und Kurzzeichen gleich)
学习 (xuéxí)	lernen (im Rahmen eines regulären Kurses); studieren
什么 (shénme)	was; was für ein{e}; welche{r/‌‑s} (aber nicht bei Vorliegen einer begrenzten Menge, aus der gewählt werden soll)
谁 (shéi/shuí)	wer
日本学 (rìběnxué)	Japanologie
韩国学 (hánguóxué)	Koreanologie; Koreanistik
难 (nán)	schwer (im Sinn von „schwierig")
回答 (huídá)	beantworten; antworten (außer in schlampiger Umgangssprache nicht wie im Deutschen „dir antworten" mit Person als indirektem Objekt)
回答 (huídá)	Antwort
了 (le)	(Partikel am Satzende zum Ausdruck des Empfindens eines Situationswandels oder eines extremen Zustands sowie - in dieser Lektion weiter unten - Suffix nach einem Verb/‌‌Adjektiv/‌Richtungskomplement/‌Resultatkomplement zum Ausdruck der Realisierung)
有{一}点儿 (yǒu'{'yī'}'diǎner)	(vor Adjektivausdrücken und vor Verbalausdrücken mit statischer Bedeutung) etwas; ein wenig; ein bisschen (falls vor Adjektiv: im Deutschen dessen Grundform wie in „ein bisschen schwer", nicht der Komparativ)
容易 (róngyì)	leicht (im Sinne von „nicht schwierig")
昨天 (zuótiān)	gestern
第 (dì)	(Präfix zur Kennzeichnung der nachfolgenden Zahl als Ordinalzahl oder des nachfolgenden Fragepronomens几 = „wie viele" als eine Ordinalzahl erfragend)
课 (kè)	Lektion (zur Bedeutung von 课 als Nomen siehe L. 5)
今天 (jīntiān)	heute
明天 (míngtiān)	morgen
零 (líng)	null
五 (wǔ)	fünf
十 (shí)	zehn
十 (shí)	-zehn, -zig
百 (bǎi)	-hundert (= Hunderter-Stellenwert)
千 (qiān)	-tausend (= Tausender-Stellenwert)
万 (wàn)	(Zehntausender-Stellenwert)
亿 (yì)	(Hundert-Millionen-Stellenwert)
