在	(mit einem Orts- oder Zeitausdruck als Objekt: vor dem Verb, um den - u.U. abstrakten - Ort oder den Zeitpunkt der Verbhandlung in den Satz einzuführen; hinter dem Verb vor allem zur Einführung des Ortes, an den jemand/‌etwas durch die Verbhandlung gerät)
碰到	auf ... stoßen; zufällig treffen; begegnen
碰	berühren; ankommen (im Sinn von „berühren"); stoßen
出来	herauskommen; fortgehen (falls nicht für allzu lange Zeit und in die Richtung des Sprechers oder der Position, in die sich dieser hineinversetzt)
出来	(als Richtungskomplement:) heraus; (als Resultatskomplement wie出 weiter unten)
新	neulich; vor Kurzem
一笔	(hier:) in einem Zug (nicht wie sonst: „{mit} ein{em} Strich")
...不...	nicht können; es nicht schaffen zu; nicht in der Lage sein zu; sich nicht ... lassen (Partikel zur Bildung des negativen Möglichkeitskomplements - Details im Grammatikteil dieser Lektion)
出	(als Richtungskomplement:) her-/hinaus; (als Resultatskomplement zum Ausdruck, dass durch eine Handlung etwas als Erkenntnis wie z.B. 听出{来} = „heraushören" oder als Produkt wie in 写出{来} herauskommt)
可	(dient der Verstärkung einer Aussage, eines Ausrufs oder einer Aufforderung; 可不 = „gar nicht")
像	ausschauen wie; ähnlich sein; gleichen
...得...	(hier: Partikel, mit dem zu einem Zustandskomplement übergeleitet wird - Details im Grammatikteil dieser Lektion)
不错	nicht schlecht; recht gut
奥地利	Österreich
过去	{in der} Vergangenheit; früher (Achtung: mit - von den meisten - im neutralen Ton ausgesprochenem 去heißt 过去 „hinübergehen"/‌„hingehen"/‌„vorbeigehen" bzw. „‑fahren" usw.)
北京	Peking
年	Jahr
年	Jahr als ZEW
啊	(am Ende eines Aussage- oder Ausrufesatzes, um einer bestätigenden, bewundernden oder ermahnenden Äußerung Nachdruck zu verleihen)
又	(hier:) {und} dann noch; {und} dazu noch; {und} obendrein (wenn das betreffende Ereignis bereits eingetreten ist; vor dem Verb 是 und vor Modalverben auch sonst)
听课	eine Vorlesung hören/besuchen
回来	zurückkommen
回	zurückkehren
怪不得	kein Wunder; kein Wunder, dass ...
怪	merkwürdig; seltsam; sonderbar
没错{儿}	(hier:) korrekt; richtig; fehlerfrei
啊	(hier zum Ausdruck des Begreifens)
对了	stimmt; richtig (hier zum Ausdruck, dass einem etwas eingefallen ist - so wie auch die deutschen Wörter „richtig" oder „stimmt" in „ach ja, richtig/stimmt, ..." verwendet werden können; 了betont hier das Gewinnen einer Erkenntnis; es kann aber auch den Wandel einer äußeren Situation ausdrücken, also im Fall von 对了, dass etwas früher Falsches sich zum Richtigen hin gewandelt hat)
想起来	sich erinnern; einem einfallen (im Sinn von „sich erinnern")
想	denken; nachdenken; über ... nachdenken; an ... denken; sich nach ... sehnen; glauben, dass
起来	aufstehen (z.B. aus dem Bett); sich erheben (z.B. zum Widerstand)
起来	(起来 drückt als Richtungskomplement aus, dass sich jemand oder etwas durch die Verbhandlung nach oben bewegt - aber nicht auf etwas hin-/‌herauf, wie es der Bedeutung des Richtungskomplements 上 entspricht; im Fall von 想起来 kann man sich das so vorstellen, dass ein Gedächtnisinhalt durch die Handlung 想 = „nachdenken" aus den Tiefen des Bewusstseins nach oben geholt wird.)
应该	müssen (hier im Sinn von „es ist aufgrund der Umstände sehr stark anzunehmen, dass"); sollte{st/‌‑n/‌‑t} (u.a. im Sinn von „es ist aufgrund der Umstände anzunehmen, dass") (weitere Bedeutungen von 应该 im Vokabelteil von L. 11)
教授	Professor (im tertiären, nicht - wie wie in Österreich auch gebräuchlich - im sekundären Bildungsbereich)
吧	(hier zum Ausdruck der Vermutung in einem Aussagesatz:) ..., nehme ich an; wohl; (weiters zum Ausdruck der Vermutung in einem Fragesatz:) doch ..., oder?
还是	(vor die Wahl gestellt, nach Bedenken der Wahlmöglichkeiten:) {doch} besser; {doch} lieber; es wäre {doch} besser, wenn; oder ... {doch} besser; (weitere adverbiale Bedeutungen:) trotzdem; dennoch
早	früh
早	vor Langem; seit Langem; längst
就	(wenn davor Zeitpunkt oder Zeitspanne genannt, dann drückt 就 aus, dass etwas schon zu diesem Zeitpunkt oder innerhalb dieser Zeitspanne der Fall war oder sein wird:) schon; (weitere zeitliche Bedeutungen von 就 u.a.:) gleich; sofort
听说	{sagen} gehört haben, dass; es heißt, dass; von (etwas) gehört haben („ich habe von ihm gehört, dass" = 我听他说)
欢迎	willkommen; willkommen heißen
教室	Unterrichtsraum; Klassenzimmer
坐	sitzen; sich setzen; Platznehmen; mit‌ ‌...‌ (als Passagier/Fahrgast/Beifahrer) fahren/fliegen
在一起	zusammen {sein}; beeinander {sein}; beisammen {sein}
聊天{儿}	plaudern; sich unterhalten
母亲	Mutter
父亲	Vater
哦	(Ausrufewort zum Ausdruck des Begreifens:) ah
弟弟	jüngerer Bruder
出生	geboren sein
长大	aufwachsen; heranwachsen
德语	Deutsch (aber nicht, wenn nur auf Geschriebenes bezogen)
母语	Muttersprache
家	Familie; Zuhause ("zu Hause {sein}" = 在家)
跟	mit; gegen (z.B. in „gegen ihn einen Wettkampf austragen"); wie (z.B. in „gleich groß wie") (manchmal 跟 + Objekt im Deutschen mit einem Dativobjekt übersetzbar, z.B. in 我跟你说 = „ich sage dir")
常常	oft; öfters; für gewöhnlich (verneinte Form: 不常 = „nicht oft") (Wenn etwas sonst selten auftritt, verwendet man 常 für „oft"; ist etwas auch sonst gar nicht so selten, erzielt man mit常常eine stärkere Hervorhebung als mit 常)
讲	reden; sagen (im Gegensatz zu 说aber nicht als Ankündigung einer direkten Rede verwendbar); erzählen; darlegen; erläutern; erklären
姐	(v.a.:) ältere Schwester (in dieser Bedeutung Kurzform von 姐姐 jiějie)
弟	jüngerer Bruder (allerdings seltener als弟弟)
俩	beide; zwei (entspricht 两 + Zähleinheitswort)
... 之间	zwischen ...; unter ... (im Sinn von „zwischen ...")
