在 (zài)	(mit einem Orts- oder Zeitausdruck als Objekt: vor dem Verb, um den - u.U. abstrakten - Ort oder den Zeitpunkt der Verbhandlung in den Satz einzuführen; hinter dem Verb vor allem zur Einführung des Ortes, an den jemand/‌etwas durch die Verbhandlung gerät)
碰到 (pèngdào)	auf ... stoßen; zufällig treffen; begegnen
碰 (pèng)	berühren; ankommen (im Sinn von „berühren"); stoßen
出来 (chūlái)	herauskommen; fortgehen (falls nicht für allzu lange Zeit und in die Richtung des Sprechers oder der Position, in die sich dieser hineinversetzt)
出来 (chūlái)	(als Richtungskomplement:) heraus; (als Resultatskomplement wie出 weiter unten)
新 (xīn)	neulich; vor Kurzem
一笔 (yībǐ)	(hier:) in einem Zug (nicht wie sonst: „{mit} ein{em} Strich")
...不... (...bù...)	nicht können; es nicht schaffen zu; nicht in der Lage sein zu; sich nicht ... lassen (Partikel zur Bildung des negativen Möglichkeitskomplements - Details im Grammatikteil dieser Lektion)
出 (chū)	(als Richtungskomplement:) her-/hinaus; (als Resultatskomplement zum Ausdruck, dass durch eine Handlung etwas als Erkenntnis wie z.B. 听出{来} = „heraushören" oder als Produkt wie in 写出{来} herauskommt)
可 (kě)	(dient der Verstärkung einer Aussage, eines Ausrufs oder einer Aufforderung; 可不 = „gar nicht")
像 (xiàng)	ausschauen wie; ähnlich sein; gleichen
...得... (...dé...)	(hier: Partikel, mit dem zu einem Zustandskomplement übergeleitet wird - Details im Grammatikteil dieser Lektion)
不错 (bùcuò)	nicht schlecht; recht gut
奥地利 (àodìlì)	Österreich
过去 (guòqù)	{in der} Vergangenheit; früher (Achtung: mit - von den meisten - im neutralen Ton ausgesprochenem 去heißt 过去 „hinübergehen"/‌„hingehen"/‌„vorbeigehen" bzw. „‑fahren" usw.)
北京 (běijīng)	Peking
年 (nián)	Jahr
年 (nián)	Jahr als ZEW
啊 (a)	(am Ende eines Aussage- oder Ausrufesatzes, um einer bestätigenden, bewundernden oder ermahnenden Äußerung Nachdruck zu verleihen)
又 (yòu)	(hier:) {und} dann noch; {und} dazu noch; {und} obendrein (wenn das betreffende Ereignis bereits eingetreten ist; vor dem Verb 是 und vor Modalverben auch sonst)
听课 (tīngkè)	eine Vorlesung hören/besuchen
回来 (huílái)	zurückkommen
回 (huí)	zurückkehren
怪不得 (guàibùdé)	kein Wunder; kein Wunder, dass ...
怪 (guài)	merkwürdig; seltsam; sonderbar
没错{儿} (méicuò{er})	(hier:) korrekt; richtig; fehlerfrei
啊 (a)	(hier zum Ausdruck des Begreifens)
对了 (duìle)	stimmt; richtig (hier zum Ausdruck, dass einem etwas eingefallen ist - so wie auch die deutschen Wörter „richtig" oder „stimmt" in „ach ja, richtig/stimmt, ..." verwendet werden können; 了betont hier das Gewinnen einer Erkenntnis; es kann aber auch den Wandel einer äußeren Situation ausdrücken, also im Fall von 对了, dass etwas früher Falsches sich zum Richtigen hin gewandelt hat)
想起来 (xiǎngqǐlái)	sich erinnern; einem einfallen (im Sinn von „sich erinnern")
想 (xiǎng)	denken; nachdenken; über ... nachdenken; an ... denken; sich nach ... sehnen; glauben, dass
起来 (qǐlái)	aufstehen (z.B. aus dem Bett); sich erheben (z.B. zum Widerstand)
起来 (qǐlái)	(起来 drückt als Richtungskomplement aus, dass sich jemand oder etwas durch die Verbhandlung nach oben bewegt - aber nicht auf etwas hin-/‌herauf, wie es der Bedeutung des Richtungskomplements 上 entspricht; im Fall von 想起来 kann man sich das so vorstellen, dass ein Gedächtnisinhalt durch die Handlung 想 = „nachdenken" aus den Tiefen des Bewusstseins nach oben geholt wird.)
应该 (yīnggāi)	müssen (hier im Sinn von „es ist aufgrund der Umstände sehr stark anzunehmen, dass"); sollte{st/‌‑n/‌‑t} (u.a. im Sinn von „es ist aufgrund der Umstände anzunehmen, dass") (weitere Bedeutungen von 应该 im Vokabelteil von L. 11)
教授 (jiàoshòu)	Professor (im tertiären, nicht - wie wie in Österreich auch gebräuchlich - im sekundären Bildungsbereich)
吧 (ba)	(hier zum Ausdruck der Vermutung in einem Aussagesatz:) ..., nehme ich an; wohl; (weiters zum Ausdruck der Vermutung in einem Fragesatz:) doch ..., oder?
还是 (háishì)	(vor die Wahl gestellt, nach Bedenken der Wahlmöglichkeiten:) {doch} besser; {doch} lieber; es wäre {doch} besser, wenn; oder ... {doch} besser; (weitere adverbiale Bedeutungen:) trotzdem; dennoch
早 (zǎo)	früh
早 (zǎo)	vor Langem; seit Langem; längst
就 (jiù)	(wenn davor Zeitpunkt oder Zeitspanne genannt, dann drückt 就 aus, dass etwas schon zu diesem Zeitpunkt oder innerhalb dieser Zeitspanne der Fall war oder sein wird:) schon; (weitere zeitliche Bedeutungen von 就 u.a.:) gleich; sofort
听说 (tīngshuō)	{sagen} gehört haben, dass; es heißt, dass; von (etwas) gehört haben („ich habe von ihm gehört, dass" = 我听他说)
欢迎 (huānyíng)	willkommen; willkommen heißen
教室 (jiàoshì)	Unterrichtsraum; Klassenzimmer
坐 (zuò)	sitzen; sich setzen; Platznehmen; mit‌ ‌...‌ (als Passagier/Fahrgast/Beifahrer) fahren/fliegen
在一起 (zàiyīqǐ)	zusammen {sein}; beeinander {sein}; beisammen {sein}
聊天{儿} (liáotiān{er})	plaudern; sich unterhalten
母亲 (mǔqīn)	Mutter
父亲 (fùqīn)	Vater
哦 (ó)	(Ausrufewort zum Ausdruck des Begreifens:) ah
弟弟 (dìdì)	jüngerer Bruder
出生 (chūshēng)	geboren sein
长大 (zhǎngdà)	aufwachsen; heranwachsen
德语 (déyǔ)	Deutsch (aber nicht, wenn nur auf Geschriebenes bezogen)
母语 (mǔyǔ)	Muttersprache
家 (jiā)	Familie; Zuhause ("zu Hause {sein}" = 在家)
跟 (gēn)	mit; gegen (z.B. in „gegen ihn einen Wettkampf austragen"); wie (z.B. in „gleich groß wie") (manchmal 跟 + Objekt im Deutschen mit einem Dativobjekt übersetzbar, z.B. in 我跟你说 = „ich sage dir")
常常 (chángcháng)	oft; öfters; für gewöhnlich (verneinte Form: 不常 = „nicht oft") (Wenn etwas sonst selten auftritt, verwendet man 常 für „oft"; ist etwas auch sonst gar nicht so selten, erzielt man mit常常eine stärkere Hervorhebung als mit 常)
讲 (jiǎng)	reden; sagen (im Gegensatz zu 说aber nicht als Ankündigung einer direkten Rede verwendbar); erzählen; darlegen; erläutern; erklären
姐 (jiě)	(v.a.:) ältere Schwester (in dieser Bedeutung Kurzform von 姐姐 jiějie)
弟 (dì)	jüngerer Bruder (allerdings seltener als弟弟)
俩 (liǎ)	beide; zwei (entspricht 两 + Zähleinheitswort)
... 之间 (... zhījiān)	zwischen ...; unter ... (im Sinn von „zwischen ...")
