听	hören (z.B. in „Musik hören", aber nicht ohne Verbkomplement, wenn das Eintreten der Sinnesempfindung im Vordergrund steht wie in „Ich habe das Geräusch gehört"); sich anhören; zuhören
说	sprechen (ohne ein zumindest erschließbares konkretes Objekt in der Regel mit dem Objekt 话 = „Worte", z.B. in „Er spricht gerade"); (sonst v.a.:) sagen
读	lesen; laut lesen; vorlesen; (eine Schule/Universität) besuchen
写	schreiben (ohne ein zumindest erschließbares konkretes Objekt in der Regel mit dem Objekt 字 = „Schriftzeichen", z.B. in „Er kann schon schreiben")
汉学	Sinologie
系	(u.a.:) Universitätsinstitut (in dieser Bedeutung Lang- und Kurzzeichen gleich)
学习	lernen (im Rahmen eines regulären Kurses); studieren
什么	was; was für ein{e}; welche{r/‌‑s} (aber nicht bei Vorliegen einer begrenzten Menge, aus der gewählt werden soll)
谁	wer
日本学	Japanologie
韩国学	Koreanologie; Koreanistik
难	schwer (im Sinn von „schwierig")
回答	beantworten; antworten (außer in schlampiger Umgangssprache nicht wie im Deutschen „dir antworten" mit Person als indirektem Objekt)
回答	Antwort
了	(Partikel am Satzende zum Ausdruck des Empfindens eines Situationswandels oder eines extremen Zustands sowie - in dieser Lektion weiter unten - Suffix nach einem Verb/‌‌Adjektiv/‌Richtungskomplement/‌Resultatkomplement zum Ausdruck der Realisierung)
有{一}点儿	(vor Adjektivausdrücken und vor Verbalausdrücken mit statischer Bedeutung) etwas; ein wenig; ein bisschen (falls vor Adjektiv: im Deutschen dessen Grundform wie in „ein bisschen schwer", nicht der Komparativ)
容易	leicht (im Sinne von „nicht schwierig")
昨天	gestern
第	(Präfix zur Kennzeichnung der nachfolgenden Zahl als Ordinalzahl oder des nachfolgenden Fragepronomens几 = „wie viele" als eine Ordinalzahl erfragend)
课	Lektion (zur Bedeutung von 课 als Nomen siehe L. 5)
今天	heute
明天	morgen
零	null
五	fünf
十	zehn
十	-zehn, -zig
百	-hundert (= Hunderter-Stellenwert)
千	-tausend (= Tausender-Stellenwert)
万	(Zehntausender-Stellenwert)
亿	(Hundert-Millionen-Stellenwert)
